Industry Codes and Aggregations in the Industry Economic Accounts,,,,,,,,
"Estimates in the Industry Economic Accounts of the Bureau of Economic Analysis (BEA) are generally available at three levels of detail: sector (15 industry groups), summary (71 industry groups), and detail (389 industry groups).  For most data products, estimates at the detail level are available only for estimate year 2007 (due to the availability of detailed data from the 2007 Economic Census); however, estimates of gross output at the detail level are also available annually.  This table shows the relationship between these three levels of detail as well as how each level relates to the 2007 North American Industry Classification System (NAICS) code structure.",,,,,,,,
,,,,,,,,
BEA Code and Title,,,,Notes,Related 2007 NAICS Codes,,,
11,"Agriculture, forestry, fishing, and hunting",,,,,,,
,,,,,,,,
,111CA,Farms,,,,,,
,,,,,,,,
,,1111A0,Oilseed farming,,11111-2,,,
,,1111B0,Grain farming,,"11113-6, 11119",,,
,,111200,Vegetable and melon farming,,1112,,,
,,111300,Fruit and tree nut farming,,1113,,,
,,111400,"Greenhouse, nursery, and floriculture production",,1114,,,
,,111900,Other crop farming,,1119,,,
,,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",,"11211, 11213",,,
,,112120,Dairy cattle and milk production,,11212,,,
,,112A00,"Animal production, except cattle and poultry and eggs",,"1122, 1124-5, 1129",,,
,,112300,Poultry and egg production,,1123,,,
,,,,,,,,
,113FF,"Forestry, fishing, and related activities",,,,,,
,,,,,,,,
,,113000,Forestry and logging,,113,,,
,,114000,"Fishing, hunting and trapping",,114,,,
,,115000,Support activities for agriculture and forestry,,115,,,
,,,,,,,,
21,Mining,,,,,,,
,,,,,,,,
,211,Oil and gas extraction,,,,,,
,,,,,,,,
,,211000,Oil and gas extraction,,211,,,
,,,,,,,,
,212,"Mining, except oil and gas",,,,,,
,,,,,,,,
,,212100,Coal mining,,2121,,,
,,2122A0,"Iron, gold, silver, and other metal ore mining",,"21221, 21222, 21229",,,
,,212230,"Copper, nickel, lead, and zinc mining",,21223,,,
,,212310,Stone mining and quarrying,,21231,,,
,,2123A0,Other nonmetallic mineral mining and quarrying,,"21232, 21239",,,
,,,,,,,,
,213,Support activities for mining,,,,,,
,,,,,,,,
,,213111,Drilling oil and gas wells,,213111,,,
,,21311A,Other support activities for mining,,213112-5,,,
,,,,,,,,
22,Utilities,,,,,,,
,,,,,,,,
,22,Utilities,,,,,,
,,,,,,,,
,,221100,"Electric power generation, transmission, and distribution",*,2211,,,
,,221200,Natural gas distribution,,2212,,,
,,221300,"Water, sewage and other systems",,2213,,,
,,,,,,,,
23,Construction,,,,,,,
,,,,,,,,
,23,Construction,,,,,,
,,,,,,,,
,,230301,Nonresidential maintenance and repair,†,23,,,
,,230302,Residential maintenance and repair,†,23,,,
,,233210,Health care structures,†,23,,,
,,233230,Manufacturing structures,†,23,,,
,,233240,Power and communication structures,†,23,,,
,,233262,Educational and vocational structures,†,23,,,
,,233293,Highways and streets,†,23,,,
,,2332A0,"Commercial structures, including farm structures",†,23,,,
,,2332B0,Other nonresidential structures,†,23,,,
,,233411,Single-family residential structures,†,23,,,
,,233412,Multifamily residential structures,†,23,,,
,,2334A0,Other residential structures,†,23,,,
,,,,,,,,
31G,Manufacturing,,,,,,,
,,,,,,,,
,321,Wood products,,,,,,
,,,,,,,,
,,321100,Sawmills and wood preservation,,3211,,,
,,321200,"Veneer, plywood, and engineered wood product manufacturing",,3212,,,
,,321910,Millwork,,32191,,,
,,3219A0,All other wood product manufacturing,,"32192, 32199",,,
,,,,,,,,
,327,Nonmetallic mineral products,,,,,,
,,,,,,,,
,,327100,Clay product and refractory manufacturing,,3271,,,
,,327200,Glass and glass product manufacturing,,3272,,,
,,327310,Cement manufacturing,,32731,,,
,,327320,Ready-mix concrete manufacturing,,32732,,,
,,327330,"Concrete pipe, brick, and block manufacturing",,32733,,,
,,327390,Other concrete product manufacturing,,32739,,,
,,327400,Lime and gypsum product manufacturing,,3274,,,
,,327910,Abrasive product manufacturing,,32791,,,
,,327991,Cut stone and stone product manufacturing,,327991,,,
,,327992,Ground or treated mineral and earth manufacturing,,327992,,,
,,327993,Mineral wool manufacturing,,327993,,,
,,327999,Miscellaneous nonmetallic mineral products,,327999,,,
,,,,,,,,
,331,Primary metals,,,,,,
,,,,,,,,
,,331110,Iron and steel mills and ferroalloy manufacturing,,3311,,,
,,331200,Steel product manufacturing from purchased steel,,3312,,,
,,33131A,Alumina refining and primary aluminum production,,331311-2,,,
,,331314,Secondary smelting and alloying of aluminum,‡,331314,,,
,,33131B,Aluminum product manufacturing from purchased aluminum,,"331315, 331316, 331319",,,
,,331411,Primary smelting and refining of copper,,331411,,,
,,331419,Primary smelting and refining of nonferrous metal (except copper and aluminum),,331419,,,
,,331420,"Copper rolling, drawing, extruding and alloying",,33142,,,
,,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",,33149,,,
,,331510,Ferrous metal foundries,,33151,,,
,,331520,Nonferrous metal foundries,,33152,,,
,,,,,,,,
,332,Fabricated metal products,,,,,,
,,,,,,,,
,,33211A,"All other forging, stamping, and sintering",,"332111-2, 332117",,,
,,332114,Custom roll forming,,332114,,,
,,33211B,Crown and closure manufacturing and metal stamping,,332115-6,,,
,,332200,Cutlery and handtool manufacturing,,3322,,,
,,332310,Plate work and fabricated structural product manufacturing,,33231,,,
,,332320,Ornamental and architectural metal products manufacturing,,33232,,,
,,332410,Power boiler and heat exchanger manufacturing,,33241,,,
,,332420,Metal tank (heavy gauge) manufacturing,,33242,,,
,,332430,"Metal can, box, and other metal container (light gauge) manufacturing",,33243,,,
,,332500,Hardware manufacturing,,3325,,,
,,332600,Spring and wire product manufacturing,,3326,,,
,,332710,Machine shops,,33271,,,
,,332720,"Turned product and screw, nut, and bolt manufacturing",,33272,,,
,,332800,"Coating, engraving, heat treating and allied activities",,3328,,,
,,33291A,Valve and fittings other than plumbing,,"332911-2, 332919",,,
,,332913,Plumbing fixture fitting and trim manufacturing,,332913,,,
,,332991,Ball and roller bearing manufacturing,,332991,,,
,,33299A,"Ammunition, arms, ordnance, and accessories manufacturing",,332992-5,,,
,,332996,Fabricated pipe and pipe fitting manufacturing,,332996,,,
,,33299B,Other fabricated metal manufacturing,,332997-9,,,
,,,,,,,,
,333,Machinery,,,,,,
,,,,,,,,
,,333111,Farm machinery and equipment manufacturing,,333111,,,
,,333112,Lawn and garden equipment manufacturing,,333112,,,
,,333120,Construction machinery manufacturing,,33312,,,
,,333130,Mining and oil and gas field machinery manufacturing,,33313,,,
,,33329A,Other industrial machinery manufacturing,,"33321, 333291-4, 333298",,,
,,333220,Plastics and rubber industry machinery manufacturing,,33322,,,
,,333295,Semiconductor machinery manufacturing,,333295,,,
,,33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",,"333311, 333312, 333319",,,
,,333313,Office machinery manufacturing,,333313,,,
,,333314,Optical instrument and lens manufacturing,,333314,,,
,,333315,Photographic and photocopying equipment manufacturing,,333315,,,
,,33341A,Air purification and ventilation equipment manufacturing,,333411-2,,,
,,333414,Heating equipment (except warm air furnaces) manufacturing,,333414,,,
,,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",,333415,,,
,,333511,Industrial mold manufacturing,,333511,,,
,,33351A,Metal cutting and forming machine tool manufacturing,,333512-3,,,
,,333514,"Special tool, die, jig, and fixture manufacturing",,333514,,,
,,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",,"333515, 333516, 333518",,,
,,333611,Turbine and turbine generator set units manufacturing,,333611,,,
,,333612,"Speed changer, industrial high-speed drive, and gear manufacturing",,333612,,,
,,333613,Mechanical power transmission equipment manufacturing,,333613,,,
,,333618,Other engine equipment manufacturing,,333618,,,
,,33391A,Pump and pumping equipment manufacturing,,"333911, 333913",,,
,,333912,Air and gas compressor manufacturing,,333912,,,
,,333920,Material handling equipment manufacturing,,33392,,,
