IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing Services,Other Real Estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/
 111CA,Farms,201507,5271,...,...,...,...,...,48,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,996,...,...,...,...,...,...,...,...,...,...
 113FF,"Forestry, fishing, and related activities",26,41536,...,...,...,...,321,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 211,Oil and gas extraction,...,...,61091,737,4097,...,174,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5639,0,...,1,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,74,286,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 212,"Mining, except oil and gas",...,...,0,49405,953,...,2359,...,229,28,...,...,...,...,...,...,...,...,...,...,...,...,...,178,1586,...,65,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,37,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 213,Support activities for mining,...,...,66,39,20063,...,1789,...,...,...,40,...,...,...,...,...,...,...,...,...,...,...,...,0,...,...,5,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,16,124,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 22,Utilities,...,...,275,...,...,251280,770,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,...,...,...,...,...,2175,...,...,...,...,...,...,...,...,...,...,...,...,...,...,368,96,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,782,...,...
 23,Construction,...,...,...,...,...,...,773771,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,127,623,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
 321,Wood products,...,...,...,...,...,...,199,88827,81,...,306,...,...,...,...,...,343,23,...,...,...,29,...,...,3,210,710,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12,92,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,61,...
 327,Nonmetallic mineral products,...,...,0,627,1,...,304,243,86650,...,33,133,101,102,23,15,183,110,...,78,...,251,...,161,143,315,876,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,28,476,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10,...
 331,Primary metals,...,...,...,...,...,...,236,...,60,160710,1446,363,4,419,...,...,15,...,...,32,...,28,...,29,455,124,254,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,65,437,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,642,...
 332,Fabricated metal products,...,...,...,...,...,...,2480,350,316,6365,227288,4028,868,229,2336,856,328,536,...,9,11,73,69,...,126,1479,2366,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,170,1096,...,...,...,...,...,...,...,...,...,...,...,...,22,...,...,...,...,...,930,...
 333,Machinery,...,...,...,...,...,...,643,...,80,652,3635,253438,1231,2397,2671,322,428,584,80,...,...,28,...,...,618,314,4775,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,593,4052,...,...,...,...,...,...,...,...,...,...,...,...,1,...,...,...,...,...,424,...
 334,Computer and electronic products,...,...,...,...,...,...,81,59,327,341,294,1641,405586,1883,443,1933,488,1235,...,238,...,426,440,...,810,712,8261,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3072,21891,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,47,...
 335,"Electrical equipment, appliances, and components",...,...,...,...,...,...,79,...,46,2596,1246,1338,2181,102232,923,211,18,262,...,...,...,63,...,29,156,131,1342,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,96,1558,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14,...
 3361MV,"Motor vehicles, bodies and trailers, and parts",...,...,...,...,...,...,491,...,56,368,1017,1529,3399,345,428135,223,14,4,...,5,...,...,...,...,68,318,1051,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,78,8797,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,749,...
